,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,1stFlrSF,2ndFlrSF,SalePrice,Total Years
625,0,3,87.0,10000,1,0,1116,0,160000,58
627,8,3,80.0,9600,1,3,1520,0,153000,65
628,5,3,70.0,11606,1,0,1040,1040,135000,51
629,8,3,82.0,9020,1,3,1350,0,168500,56
630,6,4,50.0,9000,1,3,1089,661,124000,140
631,11,3,34.0,4590,1,3,1554,0,209500,14
632,0,3,85.0,11900,1,3,1411,0,82500,43
633,0,3,80.0,9250,1,3,1056,0,139400,66
634,10,3,64.0,6979,1,3,1056,0,144000,40
635,14,2,60.0,10896,1,3,1440,1440,200000,106
636,1,4,51.0,6120,1,3,800,0,60000,84
637,14,4,50.0,6000,1,3,811,576,93000,66
638,1,3,67.0,8777,1,3,796,0,85000,110
639,11,3,53.0,3982,1,3,1567,0,264561,14
640,11,3,62.0,12677,1,0,1518,0,274000,17
642,8,3,75.0,13860,1,3,2000,704,345000,48
643,5,3,80.0,10793,1,3,780,840,152000,51
644,0,1,85.0,9187,1,3,1766,0,370878,11
646,0,3,60.0,7200,1,3,1048,0,98300,70
647,0,3,85.0,10452,1,0,1094,0,155000,67
648,5,3,70.0,7700,1,3,1051,788,155000,54
649,13,4,21.0,1936,1,3,630,0,84500,50
650,5,1,65.0,8125,1,3,822,843,205950,13
651,6,3,60.0,9084,1,3,755,755,108000,80
652,5,3,70.0,8750,1,3,909,807,191000,24
653,4,4,60.0,10320,1,3,756,713,135000,114
654,0,3,91.0,10437,1,0,2113,0,350000,25
655,12,4,21.0,1680,1,3,525,567,88000,49
656,0,3,72.0,10007,1,0,1053,0,145500,61
657,6,3,60.0,7200,1,3,851,651,149000,89
658,4,3,78.0,17503,1,3,912,546,97500,72
659,0,3,75.0,9937,1,3,1486,0,167000,56
661,5,3,52.0,46589,1,1,1686,762,402000,26
662,0,3,120.0,13560,1,3,1392,0,110000,52
663,9,3,90.0,10012,1,3,1181,0,137500,48
664,0,3,49.0,20896,1,1,2097,0,423000,15
665,5,3,106.0,11194,1,0,1454,482,230500,20
667,0,3,65.0,8125,1,3,1679,0,193500,26
669,1,3,80.0,11600,1,3,1180,0,137500,98
670,5,3,64.0,8633,1,3,738,738,173500,15
671,6,2,54.0,6629,1,3,697,672,103600,95
673,0,3,110.0,14442,1,3,1839,0,257500,63
674,0,3,80.0,9200,1,3,1136,0,140000,55
675,12,3,24.0,2289,1,3,855,586,148500,42
676,6,4,60.0,9600,1,3,1095,679,87000,120
677,1,3,52.0,9022,1,3,792,0,109500,96
678,0,3,80.0,11844,1,0,2046,0,372500,12
680,11,3,50.0,8012,1,3,923,0,143000,40
681,4,2,55.0,4500,1,1,848,672,159434,88
683,0,3,90.0,11248,1,0,1668,0,285000,18
684,5,3,58.0,16770,1,1,1195,644,221000,22
686,5,1,84.0,10207,1,3,874,887,227875,13
688,0,3,60.0,8089,1,3,1419,0,392000,13
689,11,3,61.0,7577,1,0,1362,0,194700,15
691,5,3,104.0,21535,1,0,2444,1872,755000,26
692,5,3,42.0,26178,1,0,1238,1281,335000,31
693,1,3,60.0,5400,1,3,1073,0,108480,99
694,4,4,51.0,6120,1,3,1067,472,141500,84
695,0,3,54.0,13811,1,0,1137,0,176000,33
696,1,4,50.0,6000,1,3,616,0,89000,99
697,0,3,57.0,6420,1,0,1148,0,123500,68
698,0,3,65.0,8450,1,3,894,0,138500,55
699,11,1,59.0,4282,1,1,1391,0,196000,16
700,0,3,85.0,14331,1,3,1800,0,312500,18
701,0,3,80.0,9600,1,3,1164,0,140000,51
702,5,3,82.0,12438,1,0,1264,1312,361919,14
703,14,4,76.0,7630,1,3,1032,780,140000,120
704,0,3,70.0,8400,1,3,1484,0,213000,16
705,14,4,70.0,5600,1,3,372,720,55000,90
707,11,3,48.0,6240,1,3,1324,0,254000,14
708,5,3,65.0,9018,1,0,728,728,179540,13
710,1,3,56.0,4130,1,0,729,0,52000,85
711,4,0,66.0,8712,1,3,859,319,102776,120
712,11,3,40.0,4671,1,0,1228,0,189000,32
713,14,3,60.0,9873,1,3,960,0,129000,50
715,0,3,78.0,10140,1,3,1350,0,165000,46
716,6,4,60.0,10800,1,3,1576,978,159500,130
717,0,3,80.0,10000,1,3,1178,0,157000,47
718,5,3,96.0,10542,1,3,1325,1093,341000,27
719,0,3,69.0,9920,1,0,971,0,128500,51
722,0,3,70.0,8120,1,3,864,0,124500,50
723,4,3,60.0,8172,1,3,997,473,135000,66
724,0,3,86.0,13286,1,0,1698,0,320000,13
725,0,3,60.0,6960,1,3,864,0,120500,50
727,0,3,64.0,7314,1,3,1232,0,194500,13
728,10,3,85.0,11475,1,3,1776,0,110000,62
729,1,4,52.0,6240,1,3,848,0,103000,95
730,11,3,39.0,5389,1,0,1616,0,236500,25
731,8,3,73.0,9590,1,0,1146,0,187500,17
732,5,3,75.0,11404,1,0,1153,878,222500,22
733,0,3,80.0,10000,1,3,1144,0,131400,59
735,7,4,60.0,10800,1,3,880,888,163000,106
736,10,3,60.0,8544,1,3,1040,0,93500,70
737,5,3,72.0,10463,1,0,901,900,239900,15
738,10,3,60.0,10800,1,3,1200,0,179000,33
739,5,3,65.0,9313,1,0,864,864,190000,16
740,6,4,60.0,9600,1,3,768,664,132000,110
741,0,3,65.0,6768,1,0,912,0,142000,59
742,0,3,65.0,8450,1,3,1349,0,179000,20
743,8,3,70.0,12886,1,0,1464,0,175000,57
744,11,3,41.0,5395,1,0,1337,0,180000,27
747,6,4,65.0,11700,1,0,1320,1320,265979,140
748,0,3,59.0,10593,1,0,1720,0,260400,24
749,4,3,50.0,8405,1,3,1088,441,98000,75
750,4,4,55.0,8800,1,3,792,348,96500,110
752,0,3,79.0,9236,1,0,1494,0,217000,23
753,5,3,80.0,10240,1,3,1038,1060,275500,15
754,0,3,61.0,7930,1,3,1026,0,156000,51
755,12,1,34.0,3230,1,3,742,729,172500,21
756,5,3,68.0,10769,1,0,866,902,212000,13
758,12,1,24.0,2280,1,3,757,744,179400,21
759,5,3,65.0,12257,1,0,1328,1203,290000,25
760,0,3,70.0,9100,1,3,864,0,127500,61
761,1,4,60.0,6911,1,3,1301,0,100000,96
762,5,1,72.0,8640,1,3,764,783,215200,11
763,5,3,82.0,9430,1,3,1268,1097,337000,21
764,11,3,30.0,9549,1,0,1494,0,270000,25
765,0,3,75.0,14587,1,0,1506,0,264132,12
766,5,3,80.0,10421,1,3,980,734,196500,32
767,4,3,75.0,12508,1,0,983,767,160000,80
768,0,3,70.0,9100,1,3,1836,0,216837,16
769,5,3,47.0,53504,1,1,1690,1589,538000,17
771,0,3,67.0,8877,1,3,1220,0,102000,69
772,8,3,94.0,7819,1,3,1117,0,107000,44
773,0,3,70.0,10150,1,3,912,0,114500,62
774,0,3,110.0,14226,1,3,1973,0,395000,14
775,11,4,32.0,4500,1,3,1204,0,162000,22
776,0,3,86.0,11210,1,0,1614,0,221500,15
777,0,3,100.0,13350,1,0,894,0,142500,46
778,10,2,60.0,8400,1,3,2020,0,144000,43
779,10,3,78.0,10530,1,3,1004,0,135000,43
780,0,3,63.0,7875,1,3,1253,0,176000,25
781,5,3,65.0,7153,1,3,810,793,175900,28
782,0,3,67.0,16285,1,1,1430,0,187100,19
784,7,4,35.0,6300,1,3,742,742,128000,106
786,4,4,60.0,10800,1,3,966,686,139000,105
787,5,3,76.0,10142,1,0,956,1128,233000,16
788,0,4,50.0,6000,1,3,901,0,107900,66
790,11,3,43.0,3182,1,3,1145,0,160200,15
792,5,3,92.0,9920,1,0,1127,886,269790,24
793,0,3,76.0,9158,1,3,1496,0,225000,13
795,5,3,70.0,8400,1,3,888,676,171000,40
796,0,3,71.0,8197,1,3,1285,0,143500,43
797,0,3,57.0,7677,1,3,773,0,110000,67
798,5,3,104.0,13518,1,3,1966,1174,485000,12
799,4,3,60.0,7200,1,3,981,787,175000,83
800,5,3,79.0,12798,1,0,616,1072,200000,23
801,1,4,40.0,4800,1,3,1196,0,109900,104
802,5,3,63.0,8199,1,3,728,728,189000,15
803,5,3,107.0,13891,1,3,1734,1088,582933,12
804,0,3,75.0,9000,1,3,1128,0,118000,66
805,0,3,91.0,12274,1,0,1428,0,227680,12
806,8,3,75.0,9750,1,3,980,0,135500,53
807,6,3,144.0,21384,1,3,1072,504,223500,97
808,8,3,85.0,13400,1,3,1086,0,159950,54
809,7,4,90.0,8100,1,3,1075,1063,106000,122
810,0,3,78.0,10140,1,3,1309,0,181000,46
812,0,0,66.0,8712,0,3,1044,0,55993,68
813,0,3,75.0,9750,1,3,1442,0,157900,62
814,4,3,45.0,8248,1,3,686,564,116000,102
815,0,3,48.0,12137,1,1,1661,0,224900,22
818,8,3,80.0,8816,1,3,1052,0,155000,49
819,11,3,44.0,6371,1,0,1358,0,224000,11
820,5,3,72.0,7226,1,0,798,842,183000,17
821,0,4,60.0,6000,1,3,936,0,93000,67
823,4,3,60.0,9900,1,3,944,545,139500,80
824,0,1,81.0,11216,1,3,1489,0,232600,14
825,0,3,114.0,14803,1,3,2084,0,385000,13
826,3,4,50.0,6130,1,3,784,0,109500,96
827,0,3,65.0,8529,1,0,1434,0,189000,19
829,12,1,24.0,2544,1,3,520,623,147400,15
830,0,3,80.0,11900,1,0,1392,0,166000,63
831,12,1,30.0,3180,1,3,520,600,151000,15
832,5,3,44.0,9548,1,0,941,888,237000,17
833,0,3,100.0,10004,1,3,1516,0,167000,56
834,0,3,75.0,7875,1,3,1144,0,139950,59
835,0,3,60.0,9600,1,3,1067,0,128000,70
836,1,4,90.0,8100,1,3,1559,0,153500,72
837,12,4,21.0,1680,1,3,483,504,100000,47
838,0,3,75.0,9525,1,3,1099,0,144000,25
839,4,3,70.0,11767,1,3,768,432,130500,74
841,6,4,60.0,10440,1,3,958,581,157500,116
842,8,3,82.0,9020,1,3,1165,0,174900,54
843,10,3,80.0,8000,1,3,1800,0,141000,59
844,4,4,100.0,12665,1,0,876,540,153900,105
846,5,3,75.0,9317,1,3,1006,769,213000,27
847,0,3,36.0,15523,1,0,864,0,133500,48
848,4,3,75.0,45600,1,1,1307,1051,240000,112
849,8,3,80.0,9600,1,3,1094,761,187000,44
850,11,4,36.0,4435,1,3,848,0,131500,17
852,7,3,53.0,7128,1,3,918,728,164000,79
854,0,3,102.0,17920,1,3,1779,0,170000,65
857,5,3,65.0,8125,1,3,702,779,174000,26
858,0,3,80.0,10400,1,3,1370,0,152000,44
860,4,3,55.0,7642,1,3,912,514,189950,102
861,14,3,75.0,11625,1,3,1039,0,131500,55
862,0,3,81.0,9672,1,3,1097,0,152000,36
863,0,3,70.0,7931,1,3,1148,0,132500,61
864,0,1,72.0,8640,1,3,1372,0,250580,13
866,0,3,67.0,10656,1,0,1646,0,248900,14
867,0,3,85.0,6970,1,3,1120,0,129000,59
869,5,3,80.0,9938,1,3,1062,887,236000,27
870,0,3,60.0,6600,1,3,894,0,109500,58
871,5,3,70.0,8750,1,3,804,878,200500,22
872,0,3,74.0,8892,1,3,910,0,116000,67
873,2,3,60.0,12144,1,3,1036,0,133000,71
874,4,4,52.0,5720,1,3,676,455,66500,79
875,5,1,75.0,9000,1,3,1184,1426,303477,13
876,0,3,94.0,25286,1,3,1040,0,132250,57
877,5,3,74.0,8834,1,3,1462,762,350000,16
878,9,3,88.0,11782,1,0,1155,0,148000,59
880,0,3,60.0,7024,1,3,1090,0,157000,15
881,4,3,44.0,13758,1,0,1187,530,187500,30
883,7,3,60.0,6204,1,3,954,795,118500,108
884,0,3,65.0,7150,1,3,892,0,100000,53
885,11,1,50.0,5119,1,0,1709,0,328900,21
886,10,3,70.0,8393,1,3,1712,0,145000,61
887,4,3,59.0,16466,1,0,872,521,135500,65
888,0,3,95.0,15865,1,0,2217,0,268000,50
889,0,3,128.0,12160,1,3,1505,0,149500,67
890,4,3,60.0,8064,1,3,672,252,122900,71
891,5,3,70.0,11184,1,3,918,765,172500,42
892,0,3,70.0,8414,1,3,1068,0,154500,57
894,10,3,64.0,7018,1,3,1535,0,118858,41
895,5,3,71.0,7056,1,3,983,813,140000,57
896,1,4,50.0,8765,1,3,951,0,106500,84
897,10,3,64.0,7018,1,3,1120,1120,142953,41
898,0,3,100.0,12919,1,0,2364,0,611657,11
899,0,3,65.0,6993,1,3,1236,0,135000,59
901,0,3,64.0,8712,1,0,1306,0,153000,63
902,5,3,63.0,7875,1,3,807,702,180000,17
903,0,3,50.0,14859,1,0,1670,0,240000,14
905,0,3,80.0,9920,1,3,1063,0,128000,66
906,0,3,116.0,13501,1,0,1636,0,255000,14
907,4,3,86.0,11500,1,0,1020,1037,250000,84
909,5,3,149.0,12589,1,1,742,742,174000,15
910,10,3,80.0,11600,1,3,1105,1169,154300,60
912,1,4,51.0,6120,1,3,1015,0,88000,95
913,10,2,82.0,6270,1,3,1001,1001,145000,71
914,12,1,30.0,3000,1,3,612,612,173733,11
915,12,4,21.0,2001,1,3,546,546,75000,50
916,0,0,50.0,9000,1,3,480,0,35311,71
918,5,3,103.0,13125,1,0,912,1215,238000,29
919,0,3,87.0,11029,1,0,1414,0,176500,62
920,5,3,70.0,8462,1,0,936,785,201000,26
921,10,3,67.0,8777,1,3,1272,928,145900,120
922,0,3,65.0,10237,1,3,1316,0,169990,15
923,11,3,50.0,8012,1,3,1617,0,193000,27
924,0,3,79.0,10240,1,3,1686,0,207500,40
926,5,3,93.0,11999,1,3,1234,1140,285000,17
930,0,3,73.0,8925,1,0,1466,0,201000,13
931,0,3,70.0,9100,1,3,925,0,117500,55
932,0,3,84.0,11670,1,0,1905,0,320000,14
933,0,3,63.0,8487,1,3,1500,0,190000,16
934,0,3,313.0,27650,1,1,2069,0,242000,60
935,1,3,52.0,5825,1,0,747,0,79900,94
936,0,3,67.0,10083,1,3,1200,0,184900,17
937,5,3,75.0,9675,1,3,1113,858,253000,15
938,5,3,73.0,8760,1,3,1391,571,239799,14
940,10,3,55.0,12640,1,0,1728,0,150900,44
942,10,3,42.0,7711,1,0,1440,0,150000,43
943,10,3,100.0,25000,1,3,1632,0,143000,53
945,4,4,98.0,8820,1,3,1188,561,124900,130
946,8,3,70.0,8163,1,3,1144,0,143000,61
947,0,3,85.0,14536,1,3,1629,0,270000,18
948,5,3,65.0,14006,1,0,936,840,192500,18
949,0,3,78.0,9360,1,3,1381,0,197500,48
950,0,3,60.0,7200,1,3,864,0,129000,70
951,0,2,60.0,7800,1,3,965,0,119900,55
952,9,3,60.0,7200,1,3,768,0,133900,48
954,10,3,35.0,9400,1,0,980,0,127500,45
955,10,2,82.0,7136,1,0,979,979,145000,74
956,12,4,24.0,1300,1,3,561,668,124000,40
957,0,3,70.0,7420,1,3,1057,0,132000,58
958,0,3,65.0,8450,1,3,1337,0,185000,17
959,12,1,24.0,2572,1,3,696,720,155000,21
960,0,3,50.0,7207,1,0,858,0,116500,62
962,12,3,24.0,2308,1,3,804,744,155000,44
963,0,3,122.0,11923,1,0,1800,0,239000,13
964,5,3,80.0,11316,1,3,824,1070,214900,18
965,5,3,65.0,10237,1,3,783,701,178900,15
966,4,3,130.0,9600,1,0,976,332,160000,80
968,4,4,50.0,5925,1,3,600,368,37900,110
969,14,3,75.0,10382,1,3,1095,0,140000,62
970,4,3,60.0,10800,1,3,720,472,135000,71
971,12,3,36.0,2268,1,3,764,862,173000,17
972,11,3,55.0,7892,1,3,918,0,99500,41
973,0,1,95.0,11639,1,3,1428,0,182000,13
974,6,3,60.0,11414,1,0,1136,883,167500,110
976,1,3,51.0,5900,1,0,869,0,85500,97
977,11,1,35.0,4274,1,0,1241,0,199900,14
978,0,3,68.0,9450,1,3,894,0,110000,66
979,0,3,80.0,8816,1,3,1121,0,139000,57
981,5,3,98.0,12203,1,0,1276,1336,336000,22
982,0,3,43.0,3182,1,3,1266,0,159895,13
984,10,3,75.0,10125,1,3,1302,432,126000,43
985,14,3,68.0,10880,1,3,1164,0,125000,70
986,4,4,59.0,5310,1,3,1001,634,117000,110
987,0,3,83.0,10159,1,0,1940,0,395192,11
989,5,1,65.0,8125,1,3,778,798,197000,14
990,5,3,82.0,9452,1,3,1407,985,348000,23
991,6,4,121.0,17671,1,3,916,826,168000,138
992,5,3,80.0,9760,1,3,1020,831,187000,56
993,5,3,68.0,8846,1,3,750,750,173900,15
994,0,3,96.0,12456,1,3,1718,0,337500,14
995,4,3,51.0,4712,1,0,774,456,121600,74
998,1,4,60.0,9786,1,3,1077,0,91000,98
999,0,3,64.0,6762,1,3,1208,0,206000,14
1000,0,3,74.0,10206,1,3,944,0,82000,68
1001,1,3,60.0,5400,1,3,691,0,86000,100
1002,0,3,75.0,11957,1,0,1574,0,232000,14
1004,11,3,43.0,3182,1,3,1504,0,181000,15
1005,8,3,65.0,8385,1,3,985,0,149900,43
1007,12,4,21.0,2217,1,3,546,546,88000,50
1008,0,3,43.0,12118,1,0,1710,0,240000,16
1009,4,3,60.0,6000,1,3,1008,0,102000,94
1010,4,3,115.0,21286,1,3,720,551,135000,72
1011,10,3,75.0,9825,1,3,1664,0,100000,55
1012,6,3,55.0,10592,1,3,900,602,165000,97
1013,1,4,60.0,7200,1,3,1022,0,85000,110
1014,0,3,60.0,11664,1,3,1082,0,119200,72
1015,5,3,70.0,8400,1,3,810,855,227000,19
1016,0,3,73.0,11883,1,3,1504,0,203000,24
1019,11,3,43.0,3013,1,3,1506,0,213490,15
1020,0,3,60.0,7024,1,3,1132,0,176000,15
1021,0,3,64.0,7406,1,3,1220,0,194000,14
1022,4,4,52.0,9439,1,3,912,336,87000,90
1023,11,3,43.0,3182,1,3,1504,0,191000,15
1025,0,3,70.0,7700,1,3,882,0,112500,48
1026,0,3,73.0,9300,1,3,1264,0,167500,60
1027,0,3,71.0,9520,1,0,1646,0,293077,13
1028,4,3,79.0,9492,1,3,968,408,105000,79
1029,12,4,21.0,1680,1,3,672,546,118000,48
1031,7,3,102.0,15863,1,3,1687,998,197000,100
1034,1,3,50.0,6305,1,3,954,0,119750,82
1036,0,3,89.0,12898,1,0,1620,0,315500,13
1038,12,4,21.0,1533,1,3,798,546,97000,50
1039,13,4,21.0,1477,1,3,630,0,80000,50
1040,0,3,88.0,13125,1,3,1803,0,155000,63
1042,11,3,34.0,5381,1,0,1306,0,196000,15
1043,5,3,86.0,11839,1,3,1532,797,262280,30
1044,0,3,80.0,9600,1,3,2524,0,278000,39
1046,5,3,85.0,16056,1,0,1992,876,556581,15
1047,0,3,57.0,9245,1,1,990,0,145000,26
1048,0,3,100.0,21750,1,3,1771,0,115000,60
1049,0,3,60.0,11100,1,3,930,0,84900,74
1050,0,3,73.0,8993,1,0,1302,0,176485,13
1051,0,3,103.0,11175,1,0,1316,0,200141,13
1052,5,3,100.0,9500,1,3,1127,850,165000,56
1053,0,3,68.0,8562,1,3,1526,0,144500,63
1054,5,3,90.0,11367,1,3,1091,898,255000,18
1055,0,3,104.0,11361,1,3,1523,0,180000,44
1056,11,3,43.0,7052,1,0,1364,0,185850,15
1058,5,3,96.0,11308,1,0,1130,1054,335000,12
1060,11,3,41.0,4920,1,3,1338,0,213500,19
1061,1,0,120.0,18000,0,3,894,0,81000,85
1062,14,4,85.0,13600,1,3,1422,915,90000,120
1063,1,4,50.0,6000,1,3,1103,0,110500,95
1065,5,3,80.0,14000,1,3,1306,954,328000,24
1066,5,3,59.0,7837,1,0,799,772,178000,27
1067,5,3,80.0,9760,1,3,798,813,167900,56
1068,12,4,42.0,3964,1,3,1291,1230,151400,47
1069,3,3,60.0,9600,1,3,893,0,135000,71
1070,0,3,72.0,10152,1,3,1048,0,135000,64
1071,5,3,78.0,11700,1,3,829,727,154000,52
1072,4,3,50.0,7585,1,3,1002,454,91500,72
1073,5,3,75.0,7950,1,0,698,728,159500,43
1074,0,3,74.0,8556,1,3,1240,0,194000,14
1075,6,3,75.0,13125,1,3,960,780,219500,80
1076,4,3,60.0,10800,1,3,1096,370,170000,84
1078,11,4,37.0,4435,1,3,848,0,155900,16
1079,0,3,65.0,8775,1,3,990,0,126000,26
1080,0,3,80.0,11040,1,3,1258,0,145000,49
1081,0,3,75.0,7500,1,3,1040,0,133000,57
1082,0,3,70.0,8749,1,3,1459,0,192000,18
1083,0,3,80.0,8800,1,3,1251,0,160000,56
1085,9,3,73.0,9069,1,3,996,0,147000,28
1087,5,1,85.0,10574,1,3,1082,871,252000,15
1088,12,4,24.0,2522,1,3,970,739,137500,16
1089,11,1,37.0,3316,1,0,1247,0,197000,15
1090,10,3,60.0,8544,1,3,1040,0,92900,70
1091,12,1,24.0,2160,1,3,624,628,160000,21
1092,4,3,60.0,8400,1,3,1390,304,136500,95
1093,0,3,71.0,9230,1,3,1200,0,146000,55
1094,0,3,74.0,5868,1,3,936,0,129000,64
1095,0,3,78.0,9317,1,0,1314,0,176432,14
1096,6,4,60.0,6882,1,3,773,582,127000,106
1098,4,4,50.0,6000,1,3,757,567,128000,84
1099,0,3,82.0,11880,1,0,1601,0,157000,42
1100,1,3,60.0,8400,1,3,438,0,60000,100
1101,0,3,61.0,9758,1,0,950,0,119500,49
1102,0,3,70.0,7000,1,3,1134,0,135000,60
1103,0,3,79.0,8910,1,3,1194,0,159500,61
1104,12,4,24.0,2016,1,3,630,672,106000,50
1105,5,3,98.0,12256,1,0,1500,1122,325000,26
1106,0,3,114.0,10357,1,0,1442,0,179900,30
1107,5,3,168.0,23257,1,2,887,1134,274725,14
1109,0,3,107.0,11362,1,0,1836,0,280000,16
1111,5,3,80.0,10480,1,3,1098,866,205000,44
1112,0,3,73.0,7100,1,0,816,0,129900,63
1113,0,3,66.0,8923,1,3,1008,0,134500,67
1114,0,3,90.0,5400,1,3,833,0,117000,66
1115,0,3,93.0,12085,1,3,1734,0,318000,13
1117,0,3,57.0,9764,1,0,894,0,130000,53
1118,8,3,85.0,13825,1,3,1021,580,140000,62
1119,0,3,70.0,7560,1,3,1040,0,133700,61
1120,1,4,59.0,8263,1,3,1012,0,118400,100
1121,0,3,84.0,10084,1,3,1552,0,212900,15
1123,0,3,50.0,9405,1,3,698,0,118000,73
1125,0,3,60.0,10434,1,3,1005,0,115000,65
1126,11,3,53.0,3684,1,3,1555,0,174000,13
1127,0,3,182.0,14572,1,2,1530,0,259000,16
1128,5,3,59.0,11796,1,0,847,1112,215000,16
1129,10,4,60.0,7200,1,3,936,0,140000,40
1130,4,3,65.0,7804,1,3,1328,653,135000,92
1131,0,3,63.0,10712,1,3,974,0,93500,29
1132,6,4,90.0,9900,1,3,1178,1032,117500,140
1133,5,3,80.0,9828,1,0,1142,878,239500,25
1134,5,3,57.0,8773,1,0,916,684,169000,23
1135,1,4,60.0,6180,1,3,986,0,102000,94
1136,4,3,80.0,9600,1,3,1032,220,119000,70
1137,4,3,54.0,6342,1,3,780,240,94000,145
1139,1,3,98.0,8731,1,0,1167,0,144000,100
1140,0,3,60.0,7350,1,3,952,0,139000,69
1142,5,3,77.0,9965,1,3,1466,1362,424870,14
1144,14,3,60.0,12180,1,3,672,252,80000,79
1145,4,4,52.0,6240,1,3,1042,534,149000,92
1147,6,3,75.0,12000,1,3,860,704,174500,79
1149,6,4,50.0,9000,1,3,832,650,143000,100
1150,0,3,57.0,8280,1,0,932,0,124000,70
1151,0,3,134.0,17755,1,3,1466,0,149900,61
1152,0,3,90.0,14115,1,0,1811,0,230000,64
1155,0,3,90.0,10768,1,0,1437,0,218000,44
1156,8,3,85.0,9350,1,3,1265,0,179900,55
1157,11,3,34.0,5001,1,0,1314,0,230000,13
1158,0,3,92.0,11932,1,3,1580,0,235128,13
1159,5,3,76.0,9120,1,3,943,933,185000,46
1160,12,3,24.0,2280,1,3,855,601,146000,42
1162,0,3,109.0,8724,1,3,894,0,129000,52
1163,10,3,60.0,12900,1,3,1258,0,108959,51
1165,0,3,79.0,9541,1,0,1502,0,233170,11
1166,0,3,64.0,10475,1,0,1694,0,245350,12
1167,5,3,58.0,10852,1,0,959,712,173000,20
1168,6,3,120.0,13728,1,3,1236,872,235000,85
1169,5,3,118.0,35760,1,0,1831,1796,625000,25
1170,8,3,76.0,9880,1,3,1118,0,171000,43
1171,0,3,76.0,9120,1,3,1261,0,163000,62
1172,12,1,35.0,4017,1,0,625,625,171900,14
1173,4,3,138.0,18030,1,0,1636,971,200500,74
1174,6,3,80.0,16560,1,0,1170,1175,239000,88
1175,4,3,85.0,10678,1,3,2129,743,285000,28
1176,0,3,37.0,6951,1,0,923,0,119500,36
1178,4,3,54.0,7681,1,0,820,523,154900,99
1179,0,3,77.0,8335,1,3,1124,0,93000,66
1181,11,4,64.0,5587,1,0,1652,0,392500,12
1182,5,3,160.0,15623,1,0,2411,2065,745000,24
1183,1,3,60.0,10800,1,3,1130,0,120000,100
1184,0,3,50.0,35133,0,3,1572,0,186700,57
1185,4,3,60.0,9738,1,3,949,272,104900,96
1186,14,3,107.0,10615,1,0,1014,685,95000,120
1187,0,3,89.0,12461,1,3,1624,0,262000,26
1188,5,3,68.0,8935,1,0,831,829,195000,18
1189,5,3,60.0,7500,1,3,1028,776,189000,21
1191,12,1,24.0,2645,1,3,764,677,174000,21
1192,4,4,60.0,9600,1,3,842,630,125000,95
1194,5,3,80.0,9364,1,3,663,689,158000,51
1195,5,3,51.0,8029,1,0,728,728,176000,15
1196,5,3,58.0,14054,1,0,879,984,219210,14
1197,7,4,65.0,8850,1,0,815,875,144000,104
1198,0,3,70.0,9100,1,3,1212,0,178000,19
1199,0,3,75.0,11235,1,3,1382,0,148000,57
1200,0,3,71.0,9353,1,3,864,0,116050,50
1201,5,3,80.0,10400,1,3,866,913,197900,22
1202,4,4,50.0,6000,1,3,884,464,117000,95
1203,0,3,75.0,9750,1,3,1630,0,213000,20
1204,0,3,78.0,10140,1,3,1074,0,153500,45
1205,0,3,90.0,14684,1,0,2196,0,271900,30
1207,0,3,70.0,9135,1,3,1700,0,200000,17
1208,0,3,70.0,7763,1,3,1283,0,140000,58
1209,0,3,85.0,10182,1,0,1660,0,290000,14
1210,5,3,70.0,11218,1,3,1055,790,189000,28
1211,4,3,152.0,12134,1,0,1080,672,164000,32
1212,1,3,50.0,9340,1,3,672,0,113000,79
1214,9,3,69.0,10205,1,0,999,0,134500,58
1215,0,3,99.0,7094,1,0,894,0,125000,54
1216,10,4,68.0,8930,1,3,1318,584,112000,42
1217,0,1,72.0,8640,1,3,1314,0,229456,11
1218,4,4,52.0,6240,1,3,672,240,80500,73
1219,12,4,21.0,1680,1,3,672,546,91500,49
1220,0,3,66.0,7800,1,0,912,0,115000,56
1221,0,3,55.0,8250,1,3,1211,0,134000,52
1222,4,3,78.0,10496,1,3,1168,678,143000,71
1223,0,3,89.0,10680,1,3,2136,0,137900,69
1224,5,3,60.0,15384,1,0,788,702,184000,16
1225,8,3,65.0,10482,1,3,1138,0,145000,62
1226,5,3,86.0,14598,1,0,894,1039,214000,13
1227,0,3,72.0,8872,1,3,912,0,147000,55
1228,11,3,65.0,8769,1,3,1702,0,367294,12
1229,8,3,70.0,7910,1,3,1507,0,127000,60
1231,10,3,70.0,7728,1,3,1190,0,132500,58
1232,10,3,70.0,9842,1,3,1224,0,101800,58
1234,6,2,55.0,8525,1,3,1024,940,130000,109
1235,6,3,96.0,13132,1,3,892,892,138887,106
1236,12,3,36.0,2628,1,3,764,862,175500,17
1237,5,3,41.0,12393,1,1,847,1101,195000,16
1238,0,3,63.0,13072,1,3,1141,0,142500,15
1239,0,3,64.0,9037,1,0,1484,0,265900,14
1240,5,3,65.0,8158,1,3,884,884,224900,17
1241,0,3,83.0,9849,1,3,1689,0,248328,13
1242,9,3,85.0,10625,1,3,1173,0,170000,46
1243,0,3,107.0,13891,1,3,2076,0,465000,14
1245,8,3,78.0,12090,1,3,1140,728,178000,36
1246,5,1,65.0,8125,1,3,756,797,186500,15
1248,7,4,60.0,9600,1,3,1134,924,129500,103
